symbol,date,current_price,signal,up_probability,expected_return_pct,horizon_days,accuracy,sector
BRITANNIA,2021-04-30,3449.0,SELL,0.4719,1.1039999723434448,5,0.5001,CONSUMER GOODS
TATAMOTORS,2021-04-30,293.85,SELL,0.4615,0.593999981880188,5,0.4985,AUTOMOBILE
HINDALCO,2021-04-30,364.4,SELL,0.453,1.9989999532699585,5,0.5008,METALS
ITC,2021-04-30,202.6,SELL,0.4407,1.2139999866485596,5,0.513,CONSUMER GOODS
EICHERMOT,2021-04-30,2421.65,SELL,0.4372,1.812000036239624,5,0.5056,AUTOMOBILE
ASIANPAINT,2021-04-30,2536.4,SELL,0.4354,0.5130000114440918,5,0.5401,CONSUMER GOODS
HDFCBANK,2021-04-30,1412.3,SELL,0.435,0.6660000085830688,5,0.5006,FINANCIAL SERVICES
VEDL,2021-04-30,257.25,SELL,0.4349,2.492000102996826,5,0.517,METALS
ZEEL,2021-04-30,185.6,SELL,0.4327,0.503000020980835,5,0.5072,MEDIA & ENTERTAINMENT
COALINDIA,2021-04-30,133.05,SELL,0.4147,2.3380000591278076,5,0.4972,METALS
LT,2021-04-30,1340.45,SELL,0.4138,0.05299999937415123,5,0.4873,CONSTRUCTION
SUNPHARMA,2021-04-30,654.45,SELL,0.4031,0.8029999732971191,5,0.5248,PHARMA
GRASIM,2021-04-30,1401.75,STRONG SELL,0.3976,3.2320001125335693,5,0.5098,CEMENT & CEMENT PRODUCTS
BAJAJ-AUTO,2021-04-30,3833.75,STRONG SELL,0.397,1.315000057220459,5,0.5124,AUTOMOBILE
NTPC,2021-04-30,102.45,STRONG SELL,0.392,0.5730000138282776,5,0.5262,ENERGY
IOC,2021-04-30,90.85,STRONG SELL,0.39,-0.0989999994635582,5,0.5065,ENERGY
GAIL,2021-04-30,137.2,STRONG SELL,0.3784,1.9079999923706055,5,0.5232,ENERGY
HCLTECH,2021-04-30,898.95,STRONG SELL,0.3667,1.7059999704360962,5,0.5176,IT
KOTAKBANK,2021-04-30,1748.8,STRONG SELL,0.3567,0.9120000004768372,5,0.521,FINANCIAL SERVICES
HDFC,2021-04-30,2420.1,STRONG SELL,0.3479,0.3930000066757202,5,0.5323,FINANCIAL SERVICES
ONGC,2021-04-30,108.15,STRONG SELL,0.3476,0.24199999868869781,5,0.4879,ENERGY
SHREECEM,2021-04-30,27910.5,STRONG SELL,0.3447,0.7390000224113464,5,0.5107,CEMENT & CEMENT PRODUCTS
HEROMOTOCO,2021-04-30,2819.15,STRONG SELL,0.3433,0.9480000138282776,5,0.4959,AUTOMOBILE
RELIANCE,2021-04-30,1994.5,STRONG SELL,0.3429,-0.12999999523162842,5,0.5184,ENERGY
WIPRO,2021-04-30,492.75,STRONG SELL,0.3346,0.2750000059604645,5,0.5182,IT
AXISBANK,2021-04-30,714.9,STRONG SELL,0.334,-0.14800000190734863,5,0.5058,FINANCIAL SERVICES
HINDUNILVR,2021-04-30,2353.75,STRONG SELL,0.3307,-1.8660000562667847,5,0.5267,CONSUMER GOODS
INFY,2021-04-30,1354.35,STRONG SELL,0.3268,1.2480000257492065,5,0.538,IT
BPCL,2021-04-30,421.8,STRONG SELL,0.3239,-1.2130000591278076,5,0.4975,ENERGY
TCS,2021-04-30,3035.65,STRONG SELL,0.3203,-1.6729999780654907,5,0.5399,IT
SBIN,2021-04-30,353.5,STRONG SELL,0.3179,0.2590000033378601,5,0.5206,FINANCIAL SERVICES
INDUSINDBK,2021-04-30,934.95,STRONG SELL,0.3168,-2.484999895095825,5,0.4979,FINANCIAL SERVICES
TECHM,2021-04-30,960.4,STRONG SELL,0.3156,-0.2849999964237213,5,0.4832,IT
UPL,2021-04-30,606.9,STRONG SELL,0.3152,-0.1770000010728836,5,0.4887,FERTILISERS & PESTICIDES
BHARTIARTL,2021-04-30,536.75,STRONG SELL,0.3097,-0.04500000178813934,5,0.531,TELECOM
CIPLA,2021-04-30,910.35,STRONG SELL,0.3066,-2.684999942779541,5,0.5008,PHARMA
BAJFINANCE,2021-04-30,5451.9,STRONG SELL,0.2977,-0.1379999965429306,5,0.503,FINANCIAL SERVICES
NESTLEIND,2021-04-30,16309.25,STRONG SELL,0.2974,0.652999997138977,5,0.5304,CONSUMER GOODS
TITAN,2021-04-30,1491.65,STRONG SELL,0.2933,-0.5220000147819519,5,0.5173,CONSUMER GOODS
ICICIBANK,2021-04-30,600.5,STRONG SELL,0.2926,-0.36500000953674316,5,0.5133,FINANCIAL SERVICES
JSWSTEEL,2021-04-30,717.85,STRONG SELL,0.2873,-2.371999979019165,5,0.5155,METALS
MARUTI,2021-04-30,6455.65,STRONG SELL,0.2806,-1.9789999723434448,5,0.496,AUTOMOBILE
BAJAJFINSV,2021-04-30,11041.65,STRONG SELL,0.2796,2.7720000743865967,5,0.5444,FINANCIAL SERVICES
ULTRACEMCO,2021-04-30,6278.95,STRONG SELL,0.2638,-1.6119999885559082,5,0.4942,CEMENT & CEMENT PRODUCTS
POWERGRID,2021-04-30,220.05,STRONG SELL,0.2557,-1.378999948501587,5,0.527,ENERGY
ADANIPORTS,2021-04-30,730.05,STRONG SELL,0.2522,-0.8399999737739563,5,0.5196,SERVICES
DRREDDY,2021-04-30,5163.1,STRONG SELL,0.183,0.3319999873638153,5,0.5234,PHARMA
TATASTEEL,2021-04-30,1034.0,STRONG SELL,0.1588,-3.437000036239624,5,0.4982,METALS
